Gary Sanchez,0.479149933,0.140057095,0.0624557,0.429044368,0.330542942,0.455826972,1.003782812,0.697812728,2,14,10.82072099
Aaron Judge,0.544160656,0.18539025,0.11280275,0.498730991,0.453531578,0.51007492,0.997767936,0.795149169,3,14,10.75279346
Matt Holliday,0.462086632,0.146715362,0.086231905,0.364996079,0.371132045,0.430091676,1.005092998,0.691009081,4,0,9.116205534
Didi Gregorius,0.394031117,0.105097029,0.025940577,0.358237467,0.257652375,0.362053035,0.927072494,0.605952277,5,22,7.38852484
Chase Headley,0.3898297,0.179916018,0.110228743,0.421587658,0.153992961,0.42562239,0.902390236,0.497372948,7,5,5.764460086
Ronald Torreyes,0.356973816,0.062551915,0.020542222,0.350261639,0.14415257,0.354652125,1.019954164,0.522913721,9,11,4.032244452
Brian Dozier,0.392174396,0.181461045,0.091111849,0.32241301,0.266669239,0.387900343,0.966560436,0.564976374,1,16,10.79456348
Joe Mauer,0.205835893,0.092838979,0.071499581,0.234479913,0.02243766,0.258893617,0.507638558,0.20594182,3,2,6.03866136
Miguel Sano,0.440246005,0.312018235,0.113057681,0.438821072,0.322595821,0.430386341,0.982531146,0.63368317,4,21,9.063258843
Max Kepler,0.218153309,0.100681348,0.059571918,0.219483038,0.038403399,0.248354303,0.625605138,0.261148761,5,8,4.871258442
Robbie Grossman,0.193783947,0.11932644,0.080898235,0.197110216,0.026438891,0.239543544,0.435913007,0.190312815,6,9,3.312923603
Eddie Rosario,0.203690035,0.122708016,0.039431704,0.223403156,0.033907317,0.225333333,0.524344505,0.241580942,7,0,2.836360374
Jorge Polanco,0.15065074,0.088304484,0.052367865,0.173121255,0.015595562,0.192392424,0.283749016,0.143912552,8,2,0.880920096
Jason Castro,0.170442863,0.193127454,0.080898235,0.18278039,0.028204907,0.207540951,0.339637808,0.165132795,9,7,0.483821245
Jean Segura,0.299355267,0.286980061,0.063602118,0.419403035,0.04260177,0.368264788,0.753144913,0.284337218,1,0,9.296372402
Ben Gamel,0.305989239,0.31308892,0.153064879,0.43079312,0.050107273,0.383834591,0.697058341,0.295435863,2,5,8.557668524
Robinson Cano,0.311574987,0.150237519,0.140032118,0.275528997,0.126691318,0.342936132,0.777942613,0.383547846,3,5,7.864337175
Nelson Cruz,0.300245816,0.327693855,0.136761785,0.323259782,0.085615113,0.333137459,0.808013857,0.339474667,4,0,7.130694408
Kyle Seager,0.284704417,0.202731578,0.138575445,0.289832487,0.094998998,0.332965544,0.670218617,0.322323197,5,7,5.762630036
Danny Valencia,0.237647561,0.406282357,0.116867403,0.334281599,0.043260844,0.292432561,0.493599309,0.214959171,6,0,4.137424647
Jarrod Dyson,0.286547305,0.210445126,0.126859558,0.314307364,0.076078871,0.347922109,0.649285745,0.295435863,7,10,4.081365541
Guillermo Heredia,0.223304517,0.207425857,0.111832094,0.271137697,0.02319789,0.302097306,0.41861969,0.165522904,9,3,1.191717604
George Springer,0.418832913,0.15992835,0.081841741,0.30308249,0.376804216,0.370380935,0.961337441,0.656516785,1,11,11.03731423
Jose Altuve,0.436220927,0.085652772,0.079144116,0.347516065,0.285725367,0.420726111,0.976698414,0.636164711,2,11,10.30174781
Josh Reddick,0.383332561,0.094955635,0.082352988,0.254476632,0.322125292,0.351436893,0.925549308,0.602188274,3,5,8.955068663
Carlos Beltran,0.326738745,0.145817891,0.079272354,0.19941438,0.300703786,0.294348502,0.809716135,0.517422217,4,2,7.342960213
Yuli Gurriel,0.400338208,0.071434364,0.015869709,0.309816596,0.297192359,0.358274172,0.935730328,0.625862076,5,2,7.41001909
Marwin Gonzalez,0.434677647,0.150682217,0.114151639,0.288632555,0.386413696,0.399903298,1.016011394,0.669425092,6,5,7.342728446
Evan Gattis,0.402397454,0.097175664,0.062999594,0.309816596,0.279306158,0.379454923,0.9310543,0.599247497,7,28,5.854019623
Norichika Aoki,0.305457807,0.099645875,0.07721827,0.240710437,0.128391979,0.318918483,0.744641821,0.412900965,8,9,3.591742483
Alex Bregman,0.326533962,0.122110317,0.077346792,0.249561582,0.210409744,0.316839297,0.808952685,0.472100115,9,7,3.237817607
Ian Kinsler,0.390909867,0.083185597,0.144224989,0.317314485,0.180856943,0.409446262,0.904408767,0.524151479,1,10,10.49836453
Nicholas Castellanos,0.412859602,0.14346468,0.122309072,0.312485705,0.215869351,0.407218287,0.937990671,0.58097107,2,45,9.98216224
Justin Upton,0.419099095,0.149743701,0.125066942,0.47903816,0.102947737,0.487254143,0.924170131,0.483150342,3,15,9.229821864
Miguel Cabrera,0.432569785,0.170380876,0.236308261,0.542131824,0.074528286,0.540690006,0.938584498,0.456089533,4,8,8.771639948
Mikie Mahtook,0.369842652,0.149743701,0.020855337,0.393374751,0.144471525,0.376773028,0.870239018,0.501164365,5,7,6.947985177
Victor Martinez,0.359248942,0.079472853,0.091619514,0.430331642,0.040935699,0.442426129,0.829221243,0.38066919,6,14,5.912416002
James McCann,0.47360881,0.144247753,0.152357629,0.297892455,0.305325966,0.451083787,1.026646755,0.700891383,7,6,6.806366335
Whit Merrifield,0.38899096,0.110916764,0.085218628,0.417964881,0.155545903,0.417289865,0.924145198,0.524232259,1,11,10.59554326
Jorge Bonifacio,0.370633118,0.199439919,0.076218454,0.385845907,0.205663717,0.367595247,0.907444398,0.529289554,2,3,9.65607458
Lorenzo Cain,0.333410945,0.094436743,0.135451989,0.260834295,0.163740296,0.364224946,0.863137476,0.434387666,3,2,8.288362094
Eric Hosmer,0.309127872,0.053673096,0.04463232,0.333125829,0.098062868,0.334920813,0.764842084,0.410240316,4,10,6.901025655
Salvador Perez,0.385763451,0.132113032,0.045685459,0.352998141,0.220971166,0.37877718,0.928540145,0.570101704,5,5,7.345331415
Mike Moustakas,0.278464037,0.072030581,0.015389561,0.216334275,0.171965786,0.245476712,0.693720758,0.445510625,6,6,4.800458198
Alcides Escobar,0.322332601,0.096570023,0.025194147,0.367814704,0.108337773,0.341568627,0.856897669,0.442980087,7,7,4.916631291
Alex Gordon,0.22188568,0.062942799,0.071670065,0.209574004,0.016303839,0.304928843,0.435132223,0.16823896,8,3,1.835056968
Manuel Margot,0.268532569,0.231498449,0.025924039,0.299917188,0.124770088,0.271345007,0.637474212,0.373475001,1,0,8.707558392
Wil Myers,0.306641049,0.292299902,0.055997205,0.300872895,0.213183602,0.296090197,0.75147233,0.450658076,3,20,7.890391589
Jose Pirela,0.312388548,0.189511997,0.018252533,0.306611907,0.205150566,0.288460043,0.768356919,0.473568332,4,9,7.059742357
Cory Spangenberg,0.333839117,0.146276521,0.06791288,0.293613279,0.185174088,0.333012528,0.79695455,0.46603478,5,5,6.480160441
Erick Aybar,0.292354116,0.114293144,0.077022486,0.220109766,0.16693609,0.297953397,0.706825607,0.398194138,7,2,4.205062193
Charlie Blackmon,0.504318336,0.264382271,0.078619619,0.415173062,0.542220853,0.420534546,1.003022412,0.813799908,1,14,12.11559616
DJ LeMahieu,0.211275932,0.273863868,0.072566697,0.201216903,0.057772378,0.236618705,0.44626491,0.232973573,2,4,6.785495607
Gerardo Parra,0.462086632,0.153123909,0.028101038,0.365831723,0.447663666,0.382932628,1.018606483,0.772340896,3,23,10.01042262
Mark Reynolds,0.300188039,0.445547118,0.102408299,0.253088146,0.253896965,0.279247418,0.964581528,0.451310161,4,20,7.797117396
Carlos Gonzalez,0.370875455,0.237817889,0.114667957,0.284143791,0.31359778,0.345887689,1.076274747,0.607643397,5,16,7.912540056
Trevor Story,0.184287,0.539657989,0.095444233,0.17860067,0.115943287,0.192268908,0.367212962,0.21968055,6,0,3.387332861
Tony Wolters,0.388047909,0.189575636,0.134189126,0.370065446,0.152389529,0.410139999,1.064355733,0.57948592,8,5,5.528430998
Ben Zobrist,0.187412515,0.177284602,0.106096229,0.149796931,0.126744433,0.211797264,0.43465496,0.249975186,1,6,7.479237668
Kris Bryant,0.399243108,0.166368656,0.302424527,0.285300701,0.258589593,0.464843103,1.106576254,0.538428648,2,9,10.76536158
Anthony Rizzo,0.465303601,0.082112579,0.143666574,0.30609928,0.321606496,0.468482456,1.015942238,0.670182945,3,4,9.928166993
Willson Contreras,0.32451664,0.168353165,0.138656185,0.304051992,0.158334999,0.367413892,0.812122678,0.41885308,4,20,7.389407386
Addison Russell,0.289793437,0.219982938,0.17426175,0.291219666,0.130041752,0.361471535,0.708975639,0.344246423,5,0,6.093028294
Albert Almora Jr.,0.404105414,0.13066333,0.190191419,0.392195464,0.183701733,0.461850171,1.096218645,0.53429084,6,5,7.390462124
Jason Heyward,0.34887515,0.210049266,0.050246826,0.431360051,0.147638354,0.358263521,0.84368094,0.478077736,7,6,5.254493755
Javier Baez,0.313204836,0.247809567,0.094374301,0.31887197,0.224222303,0.333775,0.874640586,0.502508211,8,20,4.495121365
Ender Inciarte,0.372502673,0.106808972,0.07564378,0.308748717,0.194585294,0.369704821,0.914417742,0.545661444,1,2,10.36522479
Brandon Phillips,0.332813166,0.137171651,0.024334876,0.294951528,0.209439252,0.311520737,0.805522334,0.496355289,2,3,8.881524221
